Material,Material_Descr,Average Price,Base UoM,No. Cases/Truck,Plant,Plant Descr.,Material Group,Material Grp. Descr.,Purchasing Group,Purch Grp. Descr.,Product Hierarchy,Product Hier. Descr.,Weight of a Truck,FDC_ID,Team Member,,,,,,,,,,
100334,TOMATO SAUCE CAN-6/10, 	0.6907 ,LB,912,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602011031220,VEGETABLES/TOMATOES/CANNED,"36,252.000",169074,Kevin,,,,,,,,,,
100336,SPAGHETTI SAUCE MEATLESS CAN-6/10, 	0.6912 ,LB,952,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602011031220,VEGETABLES/TOMATOES/CANNED,"37,842.000",411074,Kevin,,,,,,,,,,
100348,CORN FRZ CTN-30 LB, 	0.7853 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602004031400,VEGETABLES/CORN/FROZEN,"39,600.000",169217,Kevin,,,,,,,,,,
100350,PEAS GREEN FRZ CTN-30 LB, 	0.9363 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602006031400,VEGETABLES/PEAS/FROZEN,"39,600.000",170016,Kevin,,,,,,,,,,
100351,BEANS GREEN FRZ CTN-30 LB, 	0.8346 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602002531400,VEGETABLES/BEANS GREEN/FROZEN,"39,600.000",1103437,Kevin,,,,,,,,,,
100352,CARROTS FRZ CTN-30 LB, 	0.7121 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602003031400,VEGETABLES/CARROTS/FROZEN,"39,600.000",746764,Kevin,,,,,,,,,,
100355,POTATOES WEDGE FRZ PKG-6/5 LB, 	1.4279 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602007031400,VEGETABLES/POTATO/FROZEN,"39,600.000",168443,Kevin,,,,,,,,,,
100356,POTATOES WEDGE FAT FREE FRZ PKG-6/5 LB, 	1.2089 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602007031400,VEGETABLES/POTATO/FROZEN,"39,600.000",N/A,Kevin,,,,,,,,,,
100357,POTATOES OVENS FRY PKG-6/5 LB, 	1.2812 ,LB,"1,320",1000,DOMESTIC STATISTICAL 1000,703040,"VEGETABLE, FROZEN",110,AMS-FRUIT & VEG,103602007031400,VEGETABLES/POTATO/FROZEN,"39,600.000",506167,Kevin,,,,,,,,,,
100359,BEANS BLACK TURTLE CAN-6/10, 	0.5286 ,LB,864,1000,DOMESTIC STATISTICAL 1000,703010,"VEGETABLE, CANNED",110,AMS-FRUIT & VEG,103602002031220,VEGETABLES/BEANS/CANNED,"34,992.000",175188,Kevin,,,,,,,,,,
